userPostID,userReplyID,type,actor,time,condition,class
,31,like,tyler,2:01,,
,31,like,sweetpea,2:02,,
,33,like,cavsforever,2:08,,
12,,read,kittycatbakes,1:49,,
12,,read,bblueberryy,1:50,,
12,,read,breathe_in,1:51,,
12,,read,mateoV,1:52,,
12,,like,tacoguy,1:53,,
12,,like,j_turk,1:54,,
12,,like,jr_1,1:55,,
12,,like,mariaann,1:56,,
,35,like,earthpulse,2:13,,
,36,like,mariaann,2:17,,
,36,like,BJenkins,2:18,,
13,,read,breathe_in,1:58,,
13,,read,mateoV,1:59,,
13,,read,SnakeCharmer,2:00,,
13,,read,r_camiii,2:01,,
13,,read,breethebaker,2:02,,
13,,like,mariaann,2:03,,
14,,read,SnakeCharmer,2:07,,
14,,read,r_camiii,2:08,,
14,,read,breethebaker,2:09,,
14,,read,fusionfeast,2:10,,
14,,read,MannyDL34,2:11,,
14,,read,earthpulse,2:12,,
14,,like,tyler,2:13,,
14,,like,sweetpea,2:14,,
14,,like,Jcole9,2:15,,
14,,like,MedicalRyan,2:16,,
,37,like,livelaughlove,2:27,,
,37,like,tacoguy,2:28,,
,38,like,casssssssssie,2:31,,
,38,like,alex_y,2:32,,
,38,like,_kira_,2:33,,
15,,read,breethebaker,2:16,,
15,,read,fusionfeast,2:17,,
15,,read,MannyDL34,2:18,,
15,,read,earthpulse,2:19,,
15,,like,MedicalRyan,2:20,,
15,,like,ancho-n-cayenne,2:21,,
15,,like,NoahM1121,2:22,,
15,,like,casssssssssie,2:23,,
,40,like,ancho-n-cayenne,2:36,,
,40,like,NoahM1121,2:37,,
,40,like,casssssssssie,2:38,,
,42,like,EZpz,2:44,,
16,,read,MannyDL34,2:25,,
16,,read,earthpulse,2:26,,
16,,read,lavenderrrrrr,2:27,,
16,,read,cavsforever,2:28,,
16,,read,caffeinated,2:29,,
16,,like,casssssssssie,2:30,,
16,,like,alex_y,2:31,,
16,,like,_kira_,2:32,,
16,,like,M.Kapadia92,2:33,,
,44,like,jupiterpride,2:49,,
,45,like,Jcole9,2:53,,
,45,like,MedicalRyan,2:54,,
17,,read,lavenderrrrrr,2:34,,
17,,read,cavsforever,2:35,,
17,,read,caffeinated,2:36,,
17,,read,wiz_khaleesi,2:37,,
17,,read,jupiterpride,2:38,,
17,,read,aleeboi,2:39,,
17,,like,M.Kapadia92,2:40,,
17,,like,localewis,2:41,,
17,,like,kj_192,2:42,,
17,,like,tastyrobot,2:43,,
,46,like,caffeinated,2:54,,
,47,like,tyler,2:58,,
,47,like,sweetpea,2:59,,
,48,like,artisanalways,3:02,,
,48,like,kittycatbakes,3:03,,
,48,like,bblueberryy,3:04,,
18,,read,caffeinated,2:43,,
18,,read,wiz_khaleesi,2:44,,
18,,read,jupiterpride,2:45,,
18,,read,aleeboi,2:46,,
18,,like,tastyrobot,2:47,,
18,,like,artisanalways,2:48,,
18,,like,kittycatbakes,2:49,,
18,,like,bblueberryy,2:50,,
,49,like,BJenkins,3:03,,
,49,like,PatelS,3:04,,
,50,like,kj_192,3:07,,
,50,like,tastyrobot,3:08,,
,50,like,artisanalways,3:09,,
19,,read,jupiterpride,2:52,,
19,,read,aleeboi,2:53,,
19,,read,EZpz,2:54,,
19,,read,jen73,2:55,,
19,,read,livelaughlove,2:56,,
19,,like,bblueberryy,2:57,,
19,,like,breathe_in,2:58,,
19,,like,mateoV,2:59,,
19,,like,SnakeCharmer,3:00,,
,52,like,M.Kapadia92,3:12,,
,52,like,localewis,3:13,,
,52,like,kj_192,3:14,,
,54,like,jr_1,3:20,,
20,,read,EZpz,3:01,,
20,,read,jen73,3:02,,
20,,read,livelaughlove,3:03,,
20,,read,tacoguy,3:04,,
20,,read,j_turk,3:05,,
20,,read,jr_1,3:06,,
20,,like,SnakeCharmer,3:07,,
20,,like,r_camiii,3:08,,
20,,like,breethebaker,3:09,,
20,,like,fusionfeast,3:10,,
,56,like,tacoguy,3:25,,
,57,like,alex_y,3:29,,
,57,like,_kira_,3:30,,
21,,read,livelaughlove,3:10,,
21,,read,tacoguy,3:11,,
21,,read,j_turk,3:12,,
21,,read,jr_1,3:13,,
21,,like,fusionfeast,3:14,,
21,,like,MannyDL34,3:15,,
21,,like,earthpulse,3:16,,
21,,like,lavenderrrrrr,3:17,,
,58,like,jen73,3:30,,
,59,like,NoahM1121,3:34,,
,59,like,casssssssssie,3:35,,
,60,like,SnakeCharmer,3:38,,
,60,like,r_camiii,3:39,,
,60,like,breethebaker,3:40,,
22,,read,j_turk,3:19,,
22,,read,jr_1,3:20,,
22,,read,mariaann,3:21,,
22,,read,BJenkins,3:22,,
22,,read,PatelS,3:23,,
22,,like,lavenderrrrrr,3:24,,
22,,like,cavsforever,3:25,,
,61,like,MedicalRyan,3:39,,
,61,like,ancho-n-cayenne,3:40,,
23,,read,mariaann,3:28,,
23,,read,BJenkins,3:29,,
23,,read,PatelS,3:30,,
23,,read,tyler,3:31,,
23,,read,sweetpea,3:32,,
23,,read,Jcole9,3:33,,
23,,like,wiz_khaleesi,3:34,,
23,,like,jupiterpride,3:35,,
23,,like,aleeboi,3:36,,
23,,like,EZpz,3:37,,
,62,like,kittycatbakes,3:48,,
,62,like,bblueberryy,3:49,,
,62,like,breathe_in,3:50,,
,64,like,sweetpea,3:56,,
24,,read,PatelS,3:37,,
24,,read,tyler,3:38,,
24,,read,sweetpea,3:39,,
24,,read,Jcole9,3:40,,
24,,like,EZpz,3:41,,
24,,like,jen73,3:42,,
24,,like,livelaughlove,3:43,,
,66,like,PatelS,4:01,,
25,,read,sweetpea,3:46,,
25,,read,Jcole9,3:47,,
25,,read,MedicalRyan,3:48,,
25,,read,ancho-n-cayenne,3:49,,
25,,read,NoahM1121,3:50,,
25,,like,tacoguy,3:51,,
25,,like,j_turk,3:52,,
25,,like,jr_1,3:53,,
25,,like,mariaann,3:54,,
,67,like,mariaann,4:06,,
,68,like,localewis,4:10,,
,68,like,kj_192,4:11,,
,69,like,earthpulse,4:14,,
,69,like,lavenderrrrrr,4:15,,
,69,like,cavsforever,4:16,,
26,,read,MedicalRyan,3:55,,
26,,read,ancho-n-cayenne,3:56,,
26,,read,NoahM1121,3:57,,
26,,read,casssssssssie,3:58,,
26,,read,alex_y,3:59,,
26,,read,_kira_,4:00,,
26,,like,mariaann,4:01,,
26,,like,BJenkins,4:02,,
26,,like,PatelS,4:03,,
,70,like,_kira_,4:15,,
,70,like,M.Kapadia92,4:16,,
,71,like,fusionfeast,4:19,,
,71,like,MannyDL34,4:20,,
,71,like,earthpulse,4:21,,
27,,read,NoahM1121,4:04,,
27,,read,casssssssssie,4:05,,
27,,read,alex_y,4:06,,
27,,read,_kira_,4:07,,
27,,like,tyler,4:08,,
27,,like,sweetpea,4:09,,
27,,like,Jcole9,4:10,,
27,,like,MedicalRyan,4:11,,
,72,like,r_camiii,4:24,,
,72,like,breethebaker,4:25,,
,72,like,fusionfeast,4:26,,
,74,like,casssssssssie,4:32,,
28,,read,alex_y,4:13,,
28,,read,_kira_,4:14,,
28,,read,M.Kapadia92,4:15,,
28,,read,localewis,4:16,,
28,,read,kj_192,4:17,,
28,,like,MedicalRyan,4:18,,
,76,like,ancho-n-cayenne,4:37,,
,77,like,mateoV,4:41,,
,77,like,SnakeCharmer,4:42,,
,78,like,EZpz,4:45,,
,78,like,jen73,4:46,,
,78,like,livelaughlove,4:47,,
29,,read,M.Kapadia92,4:22,,
29,,read,localewis,4:23,,
29,,read,kj_192,4:24,,
29,,read,tastyrobot,4:25,,
29,,read,artisanalways,4:26,,
29,,read,kittycatbakes,4:27,,
29,,like,casssssssssie,4:28,,
29,,like,alex_y,4:29,,
29,,like,_kira_,4:30,,
,79,like,Jcole9,4:42,,
,80,like,bblueberryy,4:46,,
,80,like,breathe_in,4:47,,
